Date,Open,High,Low,Close,Adj Close,Volume
2021-09-07,5.890000,5.890000,5.660000,5.740000,5.740000,98500
2021-09-08,5.750000,5.790000,5.750000,5.780000,5.780000,20900
2021-09-09,5.850000,6.000000,5.850000,6.000000,6.000000,43200
2021-09-10,6.100000,6.390000,6.100000,6.170000,6.170000,38300
2021-09-13,6.500000,6.650000,6.290000,6.480000,6.480000,176400
2021-09-14,6.650000,6.650000,6.410000,6.450000,6.450000,94400
2021-09-15,6.410000,6.490000,6.410000,6.490000,6.490000,91000
2021-09-16,6.490000,6.490000,6.110000,6.320000,6.320000,56400
2021-09-17,6.410000,6.620000,6.410000,6.470000,6.470000,68900
2021-09-20,6.280000,6.400000,6.240000,6.280000,6.280000,168000
2021-09-21,6.470000,6.470000,6.250000,6.320000,6.320000,72700
2021-09-22,6.350000,6.350000,6.190000,6.230000,6.230000,87600
2021-09-23,6.250000,6.270000,6.220000,6.270000,6.270000,80900
2021-09-24,6.520000,6.520000,6.380000,6.500000,6.500000,86700
2021-09-27,6.670000,6.670000,6.450000,6.460000,6.460000,56500
2021-09-28,6.470000,6.470000,6.090000,6.220000,6.220000,36800
2021-09-29,6.280000,6.490000,6.280000,6.310000,6.310000,49500
2021-09-30,6.250000,6.250000,6.170000,6.210000,6.210000,30800
2021-10-01,6.300000,6.300000,6.160000,6.200000,6.200000,74300
2021-10-04,6.000000,6.000000,5.700000,5.790000,5.790000,145600
2021-10-05,5.580000,5.910000,5.580000,5.850000,5.850000,55100
2021-10-06,5.840000,5.880000,5.720000,5.860000,5.860000,44200
2021-10-07,5.860000,5.890000,5.840000,5.870000,5.870000,76900
2021-10-08,6.000000,6.000000,5.650000,5.850000,5.850000,48900
2021-10-11,5.740000,5.820000,5.730000,5.760000,5.760000,93100
2021-10-12,5.510000,5.660000,5.510000,5.630000,5.630000,64500
2021-10-13,5.560000,5.650000,5.500000,5.540000,5.540000,65400
2021-10-14,5.650000,5.750000,5.640000,5.750000,5.750000,98200
2021-10-15,5.990000,5.990000,5.790000,5.800000,5.800000,56600
2021-10-18,5.760000,5.840000,5.640000,5.830000,5.830000,50700
2021-10-19,5.830000,6.160000,5.830000,6.040000,6.040000,48200
2021-10-20,6.140000,6.140000,5.970000,6.000000,6.000000,32300
2021-10-21,5.960000,5.960000,5.760000,5.800000,5.800000,33200
2021-10-22,5.950000,6.130000,5.950000,6.070000,6.070000,59000
2021-10-25,6.270000,6.270000,6.100000,6.160000,6.160000,178200
2021-10-26,6.300000,6.300000,5.930000,6.110000,6.110000,70800
2021-10-27,6.260000,6.260000,5.900000,6.110000,6.110000,51100
2021-10-28,6.260000,6.500000,6.260000,6.500000,6.500000,101100
2021-10-29,6.040000,6.150000,6.040000,6.150000,6.150000,37100
2021-11-01,6.000000,6.140000,6.000000,6.120000,6.120000,93900
2021-11-02,6.250000,6.370000,6.220000,6.230000,6.230000,53200
2021-11-03,6.000000,6.390000,6.000000,6.290000,6.290000,40800
2021-11-04,6.520000,6.520000,6.440000,6.500000,6.500000,79900
2021-11-05,6.500000,6.530000,6.310000,6.520000,6.520000,65800
2021-11-08,6.840000,6.840000,6.480000,6.520000,6.520000,24400
2021-11-09,6.400000,6.560000,6.320000,6.350000,6.350000,33900
2021-11-10,6.580000,6.580000,6.190000,6.300000,6.300000,55900
2021-11-11,6.150000,6.490000,6.150000,6.390000,6.390000,48700
2021-11-12,6.280000,6.540000,6.280000,6.530000,6.530000,155700
2021-11-15,6.500000,6.650000,6.450000,6.470000,6.470000,342600
